id,facilityId,activityId,staffProfileId,sessionDate,timeSlot,capacity
activity-session-mixed-001,facility-main,activity-rehab-01,staff-batch-001,2026-05-01,AM,4
activity-session-mixed-002,facility-main,activity-rehab-02,staff-batch-002,2026-05-02,PM,5
activity-session-mixed-003,facility-main,activity-rehab-03,staff-batch-003,2026-05-03,AM,6
activity-session-mixed-004,facility-main,activity-rehab-01,staff-batch-004,2026-05-04,PM,7
activity-session-mixed-005,facility-main,activity-rehab-02,staff-batch-005,2026-05-05,AM,8
activity-session-mixed-006,facility-main,activity-rehab-03,staff-batch-006,2026-05-06,PM,4
activity-session-mixed-007,facility-main,activity-rehab-01,staff-batch-007,2026-05-07,AM,5
activity-session-mixed-008,facility-main,activity-rehab-02,staff-batch-008,2026-05-08,PM,6
activity-session-mixed-009,facility-main,activity-rehab-03,staff-batch-009,2026-05-09,AM,7
activity-session-mixed-010,facility-main,activity-unknown,staff-batch-001,2026-05-10,PM,8
activity-session-mixed-011,facility-main,activity-rehab-02,staff-batch-002,2026-05-11,AM,4
activity-session-mixed-012,facility-main,activity-rehab-03,staff-batch-003,2026-05-12,PM,5
activity-session-mixed-013,facility-main,activity-rehab-01,staff-batch-004,2026-05-13,AM,6
activity-session-mixed-014,facility-main,activity-rehab-02,staff-batch-005,2026-05-14,PM,7
activity-session-mixed-015,facility-main,activity-rehab-03,staff-batch-006,2026-05-15,AM,8
activity-session-mixed-016,facility-main,activity-rehab-01,staff-batch-007,2026-05-16,PM,4
activity-session-mixed-017,facility-main,activity-rehab-02,staff-batch-008,2026-05-17,AM,5
activity-session-mixed-018,facility-main,activity-rehab-03,staff-batch-009,2026-05-18,PM,6
activity-session-mixed-019,facility-main,activity-rehab-01,staff-batch-001,2026-05-19,AM,7
activity-session-mixed-020,facility-main,activity-rehab-02,staff-not-found,2026-05-20,PM,8
activity-session-mixed-021,facility-main,activity-rehab-03,staff-batch-003,2026-05-21,AM,4
activity-session-mixed-022,facility-main,activity-rehab-01,staff-batch-004,2026-05-22,PM,5
activity-session-mixed-023,facility-main,activity-rehab-02,staff-batch-005,2026-05-23,AM,6
activity-session-mixed-024,facility-main,activity-rehab-03,staff-batch-006,2026-05-24,PM,7
activity-session-mixed-025,facility-main,activity-rehab-01,staff-batch-007,2026-05-25,AM,8
activity-session-mixed-026,facility-main,activity-rehab-02,staff-batch-008,2026-05-26,PM,4
activity-session-mixed-027,facility-main,activity-rehab-03,staff-batch-009,2026-05-27,AM,5
activity-session-mixed-028,facility-main,activity-rehab-01,staff-batch-001,2026-05-28,PM,6
activity-session-mixed-029,facility-main,activity-rehab-02,staff-batch-002,2026-05-29,AM,7
activity-session-mixed-030,facility-main,activity-rehab-03,staff-batch-003,2026-05-30,PM,0
activity-session-mixed-031,facility-main,activity-rehab-01,staff-batch-004,2026-06-01,AM,4
activity-session-mixed-032,facility-main,activity-rehab-02,staff-batch-005,2026-06-02,PM,5
activity-session-mixed-033,facility-main,activity-rehab-03,staff-batch-006,2026-06-03,AM,6
activity-session-mixed-034,facility-main,activity-rehab-01,staff-batch-007,2026-06-04,PM,7
activity-session-mixed-035,facility-main,activity-rehab-02,staff-batch-008,2026-06-05,AM,8
activity-session-mixed-036,facility-main,activity-rehab-03,staff-batch-009,2026-06-06,PM,4
activity-session-mixed-037,facility-main,activity-rehab-01,staff-batch-001,2026-06-07,AM,5
activity-session-mixed-038,facility-main,activity-rehab-02,staff-batch-002,2026-06-08,PM,6
activity-session-mixed-039,facility-main,activity-rehab-03,staff-batch-003,2026-06-09,AM,7
activity-session-mixed-040,facility-main,activity-rehab-01,staff-batch-004,2026-06-10,PM,-1
activity-session-mixed-041,facility-main,activity-rehab-02,staff-batch-005,2026-06-11,AM,4
activity-session-mixed-042,facility-main,activity-rehab-03,staff-batch-006,2026-06-12,PM,5
activity-session-mixed-043,facility-main,activity-rehab-01,staff-batch-007,2026-06-13,AM,6
activity-session-mixed-044,facility-main,activity-rehab-02,staff-batch-008,2026-06-14,PM,7
activity-session-mixed-045,facility-main,activity-rehab-03,staff-batch-009,2026-06-15,AM,8
activity-session-mixed-046,facility-main,activity-rehab-01,staff-batch-001,2026-06-16,PM,4
activity-session-mixed-047,facility-main,activity-rehab-02,staff-batch-002,2026-06-17,AM,5
activity-session-mixed-048,facility-main,activity-rehab-03,staff-batch-003,2026-06-18,PM,6
activity-session-mixed-049,facility-main,activity-rehab-01,staff-batch-004,2026-06-19,AM,7
activity-session-valid-001,facility-main,activity-rehab-02,staff-batch-005,2026-06-20,PM,8
activity-session-mixed-051,facility-main,activity-rehab-03,staff-batch-006,2026-06-21,AM,4
activity-session-mixed-052,facility-main,activity-rehab-01,staff-batch-007,2026-06-22,PM,5
activity-session-mixed-053,facility-main,activity-rehab-02,staff-batch-008,2026-06-23,AM,6
activity-session-mixed-054,facility-main,activity-rehab-03,staff-batch-009,2026-06-24,PM,7
activity-session-mixed-055,facility-main,activity-rehab-01,staff-batch-001,2026-06-25,AM,8
activity-session-mixed-056,facility-main,activity-rehab-02,staff-batch-002,2026-06-26,PM,4
activity-session-mixed-057,facility-main,activity-rehab-03,staff-batch-003,2026-06-27,AM,5
activity-session-mixed-058,facility-main,activity-rehab-01,staff-batch-004,2026-06-28,PM,6
activity-session-mixed-059,facility-main,activity-rehab-02,staff-batch-005,2026-06-29,AM,7
activity-session-mixed-060,,activity-rehab-03,staff-batch-006,2026-06-30,PM,8
activity-session-mixed-061,facility-main,activity-rehab-01,staff-batch-007,2026-07-01,AM,4
activity-session-mixed-062,facility-main,activity-rehab-02,staff-batch-008,2026-07-02,PM,5
activity-session-mixed-063,facility-main,activity-rehab-03,staff-batch-009,2026-07-03,AM,6
activity-session-mixed-064,facility-main,activity-rehab-01,staff-batch-001,2026-07-04,PM,7
activity-session-mixed-065,facility-main,activity-rehab-02,staff-batch-002,2026-07-05,AM,8
activity-session-mixed-066,facility-main,activity-rehab-03,staff-batch-003,2026-07-06,PM,4
activity-session-mixed-067,facility-main,activity-rehab-01,staff-batch-004,2026-07-07,AM,5
activity-session-mixed-068,facility-main,activity-rehab-02,staff-batch-005,2026-07-08,PM,6
activity-session-mixed-069,facility-main,activity-rehab-03,staff-batch-006,2026-07-09,AM,7
activity-session-mixed-070,facility-main,,staff-batch-007,2026-07-10,PM,8
activity-session-mixed-071,facility-main,activity-rehab-02,staff-batch-008,2026-07-11,AM,4
activity-session-mixed-072,facility-main,activity-rehab-03,staff-batch-009,2026-07-12,PM,5
activity-session-mixed-073,facility-main,activity-rehab-01,staff-batch-001,2026-07-13,AM,6
activity-session-mixed-074,facility-main,activity-rehab-02,staff-batch-002,2026-07-14,PM,7
activity-session-mixed-075,facility-main,activity-rehab-03,staff-batch-003,2026-07-15,AM,8
activity-session-mixed-076,facility-main,activity-rehab-01,staff-batch-004,2026-07-16,PM,4
activity-session-mixed-077,facility-main,activity-rehab-02,staff-batch-005,2026-07-17,AM,5
activity-session-mixed-078,facility-main,activity-rehab-03,staff-batch-006,2026-07-18,PM,6
activity-session-mixed-079,facility-main,activity-rehab-01,staff-batch-007,2026-07-19,AM,7
activity-session-mixed-080,facility-main,activity-rehab-02,,2026-07-20,PM,8
activity-session-mixed-081,facility-main,activity-rehab-03,staff-batch-009,2026-07-21,AM,4
activity-session-mixed-082,facility-main,activity-rehab-01,staff-batch-001,2026-07-22,PM,5
activity-session-mixed-083,facility-main,activity-rehab-02,staff-batch-002,2026-07-23,AM,6
activity-session-mixed-084,facility-main,activity-rehab-03,staff-batch-003,2026-07-24,PM,7
activity-session-mixed-085,facility-main,activity-rehab-01,staff-batch-004,2026-07-25,AM,8
activity-session-mixed-086,facility-main,activity-rehab-02,staff-batch-005,2026-07-26,PM,4
activity-session-mixed-087,facility-main,activity-rehab-03,staff-batch-006,2026-07-27,AM,5
activity-session-mixed-088,facility-main,activity-rehab-01,staff-batch-007,2026-07-28,PM,6
activity-session-mixed-089,facility-main,activity-rehab-02,staff-batch-008,2026-07-29,AM,7
activity-session-mixed-090,facility-main,activity-rehab-03,staff-batch-009,,PM,8
activity-session-mixed-091,facility-main,activity-rehab-01,staff-batch-001,2026-08-01,AM,4
activity-session-mixed-092,facility-main,activity-rehab-02,staff-batch-002,2026-08-02,PM,5
activity-session-mixed-093,facility-main,activity-rehab-03,staff-batch-003,2026-08-03,AM,6
activity-session-mixed-094,facility-main,activity-rehab-01,staff-batch-004,2026-08-04,PM,7
activity-session-mixed-095,facility-main,activity-rehab-02,staff-batch-005,2026-08-05,AM,8
activity-session-mixed-096,facility-main,activity-rehab-03,staff-batch-006,2026-08-06,PM,4
activity-session-mixed-097,facility-main,activity-rehab-01,staff-batch-007,2026-08-07,AM,5
activity-session-mixed-098,facility-main,activity-rehab-02,staff-batch-008,2026-08-08,PM,6
activity-session-mixed-099,facility-main,activity-rehab-03,staff-batch-009,2026-08-09,AM,7
activity-session-mixed-100,facility-main,activity-rehab-01,staff-batch-001,2026-08-10,,8
activity-session-mixed-101,facility-main,activity-rehab-02,staff-batch-002,2026-08-11,AM,4
activity-session-mixed-102,facility-main,activity-rehab-03,staff-batch-003,2026-08-12,PM,5
activity-session-mixed-103,facility-main,activity-rehab-01,staff-batch-004,2026-08-13,AM,6
activity-session-mixed-104,facility-main,activity-rehab-02,staff-batch-005,2026-08-14,PM,7
activity-session-mixed-105,facility-main,activity-rehab-03,staff-batch-006,2026-08-15,AM,8
activity-session-mixed-106,facility-main,activity-rehab-01,staff-batch-007,2026-08-16,PM,4
activity-session-mixed-107,facility-main,activity-rehab-02,staff-batch-008,2026-08-17,AM,5
activity-session-mixed-108,facility-main,activity-rehab-03,staff-batch-009,2026-08-18,PM,6
activity-session-mixed-109,facility-main,activity-rehab-01,staff-batch-001,2026-08-19,AM,7
activity-session-mixed-110,facility-main,activity-rehab-02,staff-batch-002,2026-08-20,PM,abc
activity-session-mixed-111,facility-main,activity-rehab-03,staff-batch-003,2026-08-21,AM,4
activity-session-mixed-112,facility-main,activity-rehab-01,staff-batch-004,2026-08-22,PM,5
activity-session-mixed-113,facility-main,activity-rehab-02,staff-batch-005,2026-08-23,AM,6
activity-session-mixed-114,facility-main,activity-rehab-03,staff-batch-006,2026-08-24,PM,7
activity-session-mixed-115,facility-main,activity-rehab-01,staff-batch-007,2026-08-25,AM,8
activity-session-mixed-116,facility-main,activity-rehab-02,staff-batch-008,2026-08-26,PM,4
activity-session-mixed-117,facility-main,activity-rehab-03,staff-batch-009,2026-08-27,AM,5
activity-session-mixed-118,facility-main,activity-rehab-01,staff-batch-001,2026-08-28,PM,6
activity-session-mixed-119,facility-main,activity-rehab-02,staff-batch-002,2026-08-29,AM,7
activity-session-mixed-120,facility-main,activity-rehab-03,staff-batch-003,2026-08-30,PM,
activity-session-mixed-121,facility-main,activity-rehab-01,staff-batch-004,2026-09-01,AM,4
activity-session-mixed-122,facility-main,activity-rehab-02,staff-batch-005,2026-09-02,PM,5
activity-session-mixed-123,facility-main,activity-rehab-03,staff-batch-006,2026-09-03,AM,6
activity-session-mixed-124,facility-main,activity-rehab-01,staff-batch-007,2026-09-04,PM,7
activity-session-mixed-125,facility-main,activity-rehab-02,staff-batch-008,2026-09-05,AM,8
activity-session-mixed-126,facility-main,activity-rehab-03,staff-batch-009,2026-09-06,PM,4
activity-session-mixed-127,facility-main,activity-rehab-01,staff-batch-001,2026-09-07,AM,5
activity-session-mixed-128,facility-main,activity-rehab-02,staff-batch-002,2026-09-08,PM,6
activity-session-mixed-129,facility-main,activity-rehab-03,staff-batch-003,2026-09-09,AM,7
activity-session-mixed-130,facility-main,activity-not-exist-2,staff-batch-004,2026-09-10,PM,8
activity-session-mixed-131,facility-main,activity-rehab-02,staff-batch-005,2026-09-11,AM,4
activity-session-mixed-132,facility-main,activity-rehab-03,staff-batch-006,2026-09-12,PM,5
activity-session-mixed-133,facility-main,activity-rehab-01,staff-batch-007,2026-09-13,AM,6
activity-session-mixed-134,facility-main,activity-rehab-02,staff-batch-008,2026-09-14,PM,7
activity-session-mixed-135,facility-main,activity-rehab-03,staff-batch-009,2026-09-15,AM,8
activity-session-mixed-136,facility-main,activity-rehab-01,staff-batch-001,2026-09-16,PM,4
activity-session-mixed-137,facility-main,activity-rehab-02,staff-batch-002,2026-09-17,AM,5
activity-session-mixed-138,facility-main,activity-rehab-03,staff-batch-003,2026-09-18,PM,6
activity-session-mixed-139,facility-main,activity-rehab-01,staff-batch-004,2026-09-19,AM,7
activity-session-mixed-140,facility-main,activity-rehab-02,staff-xyz,2026-09-20,PM,8
activity-session-mixed-141,facility-main,activity-rehab-03,staff-batch-006,2026-09-21,AM,4
activity-session-mixed-142,facility-main,activity-rehab-01,staff-batch-007,2026-09-22,PM,5
activity-session-mixed-143,facility-main,activity-rehab-02,staff-batch-008,2026-09-23,AM,6
activity-session-mixed-144,facility-main,activity-rehab-03,staff-batch-009,2026-09-24,PM,7
activity-session-mixed-145,facility-main,activity-rehab-01,staff-batch-001,2026-09-25,AM,8
activity-session-mixed-146,facility-main,activity-rehab-02,staff-batch-002,2026-09-26,PM,4
activity-session-mixed-147,facility-main,activity-rehab-03,staff-batch-003,2026-09-27,AM,5
activity-session-mixed-148,facility-main,activity-rehab-01,staff-batch-004,2026-09-28,PM,6
activity-session-mixed-149,facility-main,activity-rehab-02,staff-batch-005,2026-09-29,AM,7
activity-session-mixed-150,facility-main,activity-rehab-03,staff-batch-006,2026-09-30,PM,-3
activity-session-mixed-151,facility-main,activity-rehab-01,staff-batch-007,2026-10-01,AM,4
activity-session-mixed-152,facility-main,activity-rehab-02,staff-batch-008,2026-10-02,PM,5
activity-session-mixed-153,facility-main,activity-rehab-03,staff-batch-009,2026-10-03,AM,6
activity-session-mixed-154,facility-main,activity-rehab-01,staff-batch-001,2026-10-04,PM,7
activity-session-mixed-155,facility-main,activity-rehab-02,staff-batch-002,2026-10-05,AM,8
activity-session-mixed-156,facility-main,activity-rehab-03,staff-batch-003,2026-10-06,PM,4
activity-session-mixed-157,facility-main,activity-rehab-01,staff-batch-004,2026-10-07,AM,5
activity-session-mixed-158,facility-main,activity-rehab-02,staff-batch-005,2026-10-08,PM,6
activity-session-mixed-159,facility-main,activity-rehab-03,staff-batch-006,2026-10-09,AM,7
activity-session-mixed-160,facility-main,activity-rehab-01,staff-batch-007,2026-10-10,PM,0
activity-session-mixed-161,facility-main,activity-rehab-02,staff-batch-008,2026-10-11,AM,4
activity-session-mixed-162,facility-main,activity-rehab-03,staff-batch-009,2026-10-12,PM,5
